gene	Oocyte	Sperm	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Cops5	0.574818885835623	0.591946652987946	0.3615078725	0.1375711051	0.363485063	0.3326837781	0.3244367667	0.1022314275
Cspp1	0.673520436239932	0.783566764953665	0.378535671	0.2444101088	0.4112092432	0.3561495648	0.3283831188	0.1478632445
Arfgef1	0.770870591601688	0.834405713073605	0.5064704798	0.2724097397	0.463752362	0.4454911018	0.4051791093	0.1439095518
Cpa6	0.819745910914515	0.896057886105582	0.4917292452	0.2788199533	0.4781910942	0.4728630321	0.3996339948	0.1967900408
Cdh20	0.475380440050402	0.740622093624057	0.262080298	0.196741372	0.2632030009	0.2779978325	0.244090036	0.119129834
Rnf152	0.575957527493364	0.753349912772354	0.3451267758	0.2047516492	0.3128945238	0.2790563721	0.2625266009	0.121585623
Pign	0.834404455869752	0.902028904947193	0.4557695965	0.2682457834	0.4297865615	0.4173341865	0.3582163446	0.1619917355
Relch	0.678932337434095	0.758423569504755	0.4987100922	0.2467118141	0.4634014107	0.4333909949	0.3823263323	0.1344688072
Tnfrsf11a	0.322748534159035	0.648670978034814	0.1791866535	0.1127647376	0.1163162891	0.1186006878	0.08695195843	0.06063372376
Zcchc2	0.578634510869565	0.562973036896878	0.2617966106	0.1259134532	0.2628239787	0.2213954041	0.2064969193	0.08191203488
Phlpp1	0.682898518682291	0.769515075725997	0.3690852096	0.2051495149	0.3666604206	0.3625068847	0.3126100576	0.1364037537
Bcl2	0.423460835111247	0.857825530187088	0.2682148156	0.1960930281	0.2554411076	0.2407961233	0.2058006613	0.1276013165
Kdsr	0.785335542667771	0.810894141829394	0.3733383639	0.2020651183	0.3288908246	0.3675462539	0.3034621026	0.1270581305
Vps4b	0.641806722689076	0.628992248062015	0.415909477	0.2493346611	0.3957341087	0.4164216693	0.3327182292	0.1378614629
Serpinb5	0.403627161535217	0.864979542354902	0.1320700915	0.2144504647	0.2273637704	0.1583557586	0.1564884	0.095121572
Serpinb12	0.664285714285714	0.948942042318307	0.3832916443	0.3024457029	0.5385029404	0.4338799124	0.28986695	0.184120745
