chr	start	end	gene	oocyte	sperm	two_cell	four_cell	blast
chr1_10024601_10038168	chr1	10024601	10038168	Cops5	0.574818885835623	0.591946652987946	0.514964170296473	0.502063090642886	0.267848810079328
chr1_10037987_10136768	chr1	10037987	10136768	Cspp1	0.673520436239932	0.783566764953665	0.617999327418061	0.574236966295272	0.313346064078082
chr1_10137571_10232670	chr1	10137571	10232670	Arfgef1	0.770870591601688	0.834405713073605	0.686070537940862	0.655338209912057	0.339164293601441
chr1_10324720_10719945	chr1	10324720	10719945	Cpa6	0.819745910914515	0.896057886105582	0.742295207179683	0.725087851405622	0.411445647501893
chr1_104768529_104995481	chr1	104768529	104995481	Cdh20	0.475380440050402	0.740622093624057	0.429995304563111	0.378510484454085	0.233322045377582
chr1_105276914_105356710	chr1	105276914	105356710	Rnf152	0.575957527493364	0.753349912772354	0.46609756097561	0.381050559955016	0.211800511862765
chr1_105518422_105663677	chr1	105518422	105663677	Pign	0.834404455869752	0.902028904947193	0.724232475919045	0.665189138012652	0.326129337715145
chr1_105663861_105755191	chr1	105663861	105755191	Relch	0.678932337434095	0.758423569504755	0.577762960493416	0.567798241673619	0.295133571550111
chr1_105780718_105847981	chr1	105780718	105847981	Tnfrsf11a	0.322748534159035	0.648670978034814	0.22509164162346	0.118309436228511	0.0510273792632298
chr1_105990406_106034074	chr1	105990406	106034074	Zcchc2	0.578634510869565	0.562973036896878	0.407684257736582	0.39493447209542	0.194627080336963
chr1_106171752_106394250	chr1	106171752	106394250	Phlpp1	0.682898518682291	0.769515075725997	0.56235338275312	0.526101266791687	0.284513647381178
chr1_106538178_106714274	chr1	106538178	106714274	Bcl2	0.423460835111247	0.857825530187088	0.363664756025867	0.293396792918622	0.163411400795404
chr1_106720459_106759727	chr1	106720459	106759727	Kdsr	0.785335542667771	0.810894141829394	0.628525714285714	0.570323674312656	0.294283890965448
chr1_106764071_106796728	chr1	106764071	106796728	Vps4b	0.641806722689076	0.628992248062015	0.545582862836267	0.538653084323713	0.30035739814153
chr1_106861173_106883348	chr1	106861173	106883348	Serpinb5	0.403627161535217	0.864979542354902	0.307238095238095	0.213319979969955	0.120166898470097
